query,label
SELECT * FROM users WHERE profiles_id = 'P035' OR type = 'Manager';,anti_pattern_select_star
"SELECT full_name, reg_number FROM staff_directory WHERE is_active = true;",conditional_select
SELECT count(DISTINCT Nationality) FROM conductor,aggregation
SELECT * FROM hazards WHERE pharmacies_id IS NULL;,anti_pattern_select_star
"SELECT * FROM invoices WHERE invoice_date >= DATE_SUB(CURDATE(), INTERVAL 12 MONTH);",anti_pattern_select_star
SELECT * FROM event_actions WHERE event_id = 'your_event_id' AND user_id = 'your_user_id' ORDER BY date_done DESC;,anti_pattern_select_star
"SELECT pharmacies.name, organizations.name FROM pharmacies INNER JOIN organizations ON pharmacies.organizations_id = organizations.sf_id;",simple_join
SELECT DISTINCT T1.name FROM web_client_accelerator AS T1 JOIN accelerator_compatible_browser AS T2 ON T2.accelerator_id  =  T1.id JOIN browser AS T3 ON T2.browser_id  =  T3.id WHERE T3.market_share  >  15;,join_heavy
"SELECT lot_details ,  investor_id FROM LOTS",simple_select
SELECT * FROM pharmacies WHERE created_at > '2023-01-01' AND activate_at < '2023-12-27';,anti_pattern_select_star
"organization ID, and closed within the last month, ordered by the event type ID in ascending order, and limited to 20 rows.,SELECT * FROM events WHERE users_id = 123 AND organization_id = 456 AND date_closed >= NOW() - INTERVAL '1 month' ORDER BY events_type_id ASC LIMIT 20;",anti_pattern_select_star
SELECT * FROM event_staff_roles WHERE updates_by = 1;,anti_pattern_select_star
"SELECT customer_name ,  customer_phone ,  customer_email FROM Customers ORDER BY date_became_customer",simple_select
SELECT * FROM users WHERE updated_at = CURRENT_TIMESTAMP,anti_pattern_select_star
SELECT DISTINCT T3.product_name FROM customer_orders AS T1 JOIN order_items AS T2 ON T1.order_id  =  T2.order_id JOIN products AS T3 ON T2.product_id  =  T3.product_id GROUP BY T3.product_id HAVING COUNT (DISTINCT T1.customer_id)  >=  2,join_heavy
"SELECT * FROM organizations WHERE trial_ends_at = DATE_ADD(created_at, INTERVAL updated_at DAY) AND name LIKE '%Innovation%';",anti_pattern_select_star
SELECT count(*) FROM wrestler,aggregation
"active status, and created after a certain date, ordered by their full names in ascending order, and limited to 20 rows.,SELECT * FROM users WHERE profiles_id = 123 AND active = 1 AND date_created > '2023-01-01' ORDER BY full_name ASC LIMIT 20;",anti_pattern_select_star
SELECT * FROM staff_directory WHERE user_id IN (SELECT number FROM primes) AND job_title LIKE '%Expert%' AND professional_certification IS NOT NULL AND leadership_award IS NOT NULL;,anti_pattern_select_star
"SELECT event_type_id, MAX(updated_at) FROM event GROUP BY event_type_id;",aggregation
SELECT * FROM pharmacies;,anti_pattern_select_star
"SELECT town_city FROM customers WHERE customer_type_code  =  ""Good Credit Rating"" GROUP BY town_city ORDER BY count(*) LIMIT 1",aggregation
SELECT SUM(amount) AS total_sales_amountFROM transactionsWHERE transaction_date >= '2023-05-01' AND transaction_date <= '2023-05-31;,aggregation
SELECT count(*) FROM CARS_DATA WHERE horsepower  >  150;,aggregation
SELECT DISTINCT facility_id FROM formsettings_summarytools;,simple_select
SELECT MIN(timestamp) AS earliest_timestamp FROM log;,aggregation
"SELECT gname ,  gtype FROM Video_games ORDER BY gname",simple_select
SELECT count(DISTINCT scientist) FROM assignedto,aggregation
SELECT T1.name FROM airports AS T1 JOIN routes AS T2 ON T1.apid  =  T2.src_apid WHERE T1.country  =  'China' GROUP BY T1.name ORDER BY count(*) DESC LIMIT 1,aggregation
SELECT * FROM pharmacies WHERE activated_by = CURDATE(),anti_pattern_select_star
"SELECT DISTINCT facility_id, organization_id FROM formsettings_summarytools;",simple_select
SELECT count(*) FROM park WHERE state  =  'NY';,aggregation
"SELECT DISTINCT T1.driverid ,  T1.nationality FROM drivers AS T1 JOIN laptimes AS T2 ON T1.driverid = T2.driverid WHERE T2.milliseconds >  100000",simple_join
SELECT DISTINCT org_id FROM staff_directory WHERE is_active = true;,conditional_select
SELECT * FROM assets WHERE active = TRUE AND asset_type_id = 'AT105';,anti_pattern_select_star
"SELECT Date ,  Venue FROM workshop ORDER BY Venue",simple_select
"SELECT sf_id, profiles_id FROM users WHERE sf_id = 'your_sf_id' AND organization_id = 'your_organization_id';",conditional_select
"SELECT name ,  CLASS ,  rank FROM captain",simple_select
SELECT Party_Theme FROM party ORDER BY Number_of_hosts ASC,simple_select
"SELECT Student.Fname , Student.Lname FROM Student JOIN Visits_Restaurant ON Student.StuID = Visits_Restaurant.StuID GROUP BY Student.StuID ORDER BY count(*) DESC LIMIT 1;",aggregation
